t_ms,ball_cm,vel_cms,acc_x,acc_z,servo_ang,P,D,I,FF,fps,mode,dither
8851958,2.770,-7.01,1.128,11.597,93.6,30.5,-80.0,0.0,-3.4,41.0,D,0
8852031,1.523,-15.40,0.469,9.592,42.5,16.8,-80.0,0.0,-0.4,41.0,D,0
8852104,0.355,-13.23,-0.603,10.187,20.0,3.9,-80.0,0.0,0.0,36.5,D,0
8852169,-1.077,-19.26,-0.543,10.497,20.0,-11.8,-80.0,0.0,0.0,36.5,D,0
8852239,-2.422,-14.74,-0.054,10.342,20.0,-26.6,-80.0,0.0,0.0,36.5,D,0
8852301,-3.475,-15.85,-0.280,9.240,20.0,-38.2,-80.0,0.0,0.0,36.5,D,0
8852368,-4.541,-13.19,-0.472,10.024,20.0,-50.0,-80.0,0.0,0.0,36.5,D,0
8852432,-5.413,-14.72,-0.256,10.007,20.0,-59.5,-80.0,0.0,0.0,36.5,D,0
8852500,-6.178,-9.90,-0.056,9.949,20.0,-68.0,-80.0,0.0,0.0,36.5,D,0
8852564,-6.888,-12.39,-0.339,9.784,20.0,-75.8,-80.0,0.0,0.0,36.5,D,0
8852635,-7.082,-5.29,-0.342,9.800,20.0,-77.9,-63.5,0.0,0.0,36.5,D,0
8852703,-7.112,-1.90,-0.315,9.951,20.0,-78.2,-22.7,0.0,0.0,36.5,D,0
8852772,-7.154,-0.46,-0.214,9.900,20.0,-78.7,-5.5,0.0,0.0,44.8,D,0
8852843,-6.984,2.33,-0.187,9.802,36.1,-76.8,28.0,0.0,0.0,44.8,D,0
8852916,-6.671,4.17,-0.298,9.446,65.4,-73.4,50.1,0.0,0.0,44.8,D,0
8852983,-6.217,7.08,-0.222,9.810,74.5,-68.4,80.0,0.0,0.0,44.8,D,0
8853064,-5.398,7.51,-0.303,10.134,110.6,-59.4,80.0,0.0,0.0,44.8,D,0
8853131,-4.670,10.77,-0.142,10.222,118.6,-51.4,80.0,0.0,0.0,44.8,D,0
8853210,-3.816,9.62,-0.064,10.353,128.0,-42.0,80.0,0.0,0.0,44.8,D,0
8853285,-3.047,9.59,-0.316,10.280,136.5,-33.5,80.0,0.0,0.0,44.8,D,0
8853362,-2.281,7.76,-0.392,9.800,144.9,-25.1,80.0,0.0,0.0,44.8,D,0
8853426,-1.581,11.35,-0.020,9.554,152.6,-17.4,80.0,0.0,0.0,44.8,D,0
8853492,-1.319,4.55,-0.266,10.082,146.3,-9.5,15.9,0.0,0.0,41.6,S,0
8853556,-0.726,7.66,-0.324,9.698,123.9,-4.5,26.8,0.0,0.0,41.6,S,0
8853631,-0.547,3.27,-0.318,9.559,98.5,-3.0,11.4,0.0,0.0,41.6,S,0
8853699,-0.489,1.95,-0.485,9.680,94.3,-2.5,6.8,-0.1,0.0,41.6,S,0
